id,avg_payment_ratio,total_bill_amt,total_pay_amt,default_history,credit_utilization
1,,7704.0,689.0,1.0,0.39
2,,17077.0,5000.0,1.0,0.14
3,0.05,101653.0,11018.0,0.0,1.13
4,0.04,231334.0,8388.0,0.0,4.63
5,0.23,109339.0,15079.125,0.0,2.19
6,0.04,238114.0,7772.0,0.0,4.76
7,0.08,1548689.0,118088.875,0.0,3.1
8,0.03,13645.0,4791.0,0.0,0.14
9,0.29,65212.0,6761.0,0.0,0.47
10,,26919.0,4696.5,0.0,1.35
11,0.21,34467.0,6472.0,0.0,0.17
12,1.78,88369.0,64672.0,0.0,0.34
13,0.08,41007.0,23370.0,0.0,0.07
14,0.05,338685.0,10700.0,1.0,4.84
15,0.04,373591.0,18000.0,0.0,1.49
16,,196416.0,6200.0,0.0,3.93
17,0.21,106161.0,6350.0,1.0,5.31
18,0.04,966014.0,104262.875,0.0,3.02
19,,0.0,0.0,0.0,0.0
20,,0.0,0.0,0.0,0.0
21,0.08,123883.0,15389.125,0.0,0.95
22,1.0,1896.0,1580.0,1.0,0.02
23,0.05,265475.0,11010.0,1.0,3.79
24,3.52,26965.0,22589.0,1.0,0.06
25,1.21,31864.0,16400.0,0.0,0.35
26,0.04,214295.0,7891.0,0.0,4.29
27,,386.0,2500.0,1.0,0.01
28,0.06,112268.0,7112.0,0.0,2.25
29,5.25,40208.0,12711.5,0.0,0.8
30,0.1,97082.0,6600.0,0.0,1.94
31,0.94,113746.0,67306.75,0.0,0.49
32,0.06,151869.0,6934.0,1.0,3.04
33,0.03,495237.0,18744.0,0.0,4.95
34,0.38,125744.0,77159.875,0.0,0.25
35,0.37,58318.0,37897.0,0.0,0.12
36,0.0,30265.0,2280.0,0.0,0.19
37,0.04,1069977.0,41923.0,0.0,3.82
38,0.1,60614.0,12670.5,0.0,1.01
39,,780.0,780.0,1.0,0.02
40,18.22,51643.0,37357.0,0.0,0.18
41,0.05,1272629.0,67480.25,0.0,3.54
42,0.04,392856.0,19342.0,0.0,5.61
43,0.8,22761.0,7227.0,0.0,2.28
44,0.05,385134.0,20000.0,0.0,2.75
45,0.16,147185.0,11962.5,0.0,3.68
46,,0.0,0.0,1.0,0.0
47,0.21,79328.0,7508.125,1.0,3.97
48,0.23,9837.0,2183.0,1.0,0.07
49,0.96,114815.0,91730.75,0.0,0.3
50,0.08,115810.0,6246.0,0.0,5.79
51,,229012.0,8100.0,1.0,3.27
52,0.03,265185.0,9606.0,0.0,2.65
53,0.58,44125.0,30668.0,0.0,0.14
54,0.03,259151.0,10246.0,0.0,1.44
55,0.03,176751.0,12867.0,0.0,1.18
56,1.91,8388.0,6483.0,0.0,0.02
57,0.52,56083.0,29179.0,0.0,0.31
58,0.05,952362.0,34062.0,0.0,5.29
59,,6747.0,1900.0,0.0,0.03
60,0.06,1548689.0,100118.625,0.0,3.87
61,0.07,109699.0,8816.0,1.0,0.22
62,0.06,244242.0,12120.0,0.0,3.49
63,,157674.0,6125.0,1.0,3.15
64,0.03,57884.0,1000.0,1.0,1.16
65,,2452.0,2353.0,0.0,0.02
66,,469636.0,9522.0,1.0,2.35
67,1.1,22852.0,3010.0,1.0,2.29
68,1.0,8589.0,9198.0,0.0,0.04
69,,27791.0,21364.625,0.0,0.21
70,,88326.0,3700.0,0.0,4.42
71,,2340.0,1950.0,0.0,0.03
72,0.04,362152.0,13800.0,1.0,1.13
73,0.64,27109.0,19512.0,0.0,0.14
74,,5514.0,5514.0,0.0,0.02
75,1.87,142199.0,75976.25,0.0,0.42
76,0.19,101328.0,5590.0,0.0,5.07
77,0.04,145406.0,6358.0,0.0,2.91
78,1.0,1746.0,1746.0,0.0,0.01
79,0.06,149186.0,8411.0,1.0,4.97
80,,0.0,0.0,1.0,0.0
81,0.04,614823.0,21926.0,0.0,1.31
82,0.2,294903.0,35120.0,0.0,0.82
83,0.06,143566.0,5345.0,1.0,2.39
84,0.08,700952.0,22753.0,0.0,1.75
85,0.03,177499.0,6052.0,0.0,3.55
86,0.03,667013.0,35331.25,0.0,4.17
87,3.0,3510.0,2340.0,1.0,0.01
88,0.3,31623.0,8216.0,0.0,0.2
89,0.1,226534.0,24846.5,0.0,1.74
90,,61309.0,6151.0,0.0,3.07
91,0.05,862167.0,32800.0,1.0,4.31
92,,15360.0,3968.0,0.0,0.05
93,,5555.0,7555.0,0.0,0.06
94,1.82,4162.0,11018.0,0.0,0.03
95,0.04,197839.0,6261.0,0.0,3.3
96,0.04,354716.0,11756.0,0.0,3.94
97,2.1,58460.0,66313.875,0.0,0.16
98,0.05,479411.0,23841.0,0.0,3.2
99,0.08,83794.0,3783.0,0.0,1.68
100,0.09,93217.0,5685.0,1.0,4.66
101,12.58,13679.0,11246.875,0.0,0.1
102,,132986.0,32491.0,0.0,0.35
103,0.05,1548689.0,95741.875,0.0,3.23
104,0.04,205366.0,6870.0,1.0,4.11
105,,342038.0,13517.0,0.0,5.7
106,,32109.0,8992.5,0.0,0.46
107,0.47,17865.0,12794.0,0.0,0.22
108,3.19,10987.0,15285.0,0.0,0.03
109,0.05,680938.0,32256.375,0.0,5.24
110,,0.0,0.0,0.0,0.0
111,0.09,639580.0,32747.0,0.0,1.94
112,0.15,93139.0,7000.0,0.0,1.86
113,0.05,855008.0,40604.0,0.0,3.05
114,0.04,335186.0,17866.0,0.0,3.35
115,0.07,119110.0,5471.0,0.0,2.38
116,,117660.0,6312.0,1.0,3.92
