LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,BILL_MEAN
200000,2,2,1,44,0,0,0,2,0,0,3030.0,4452.0,0.0,708.0,656.0,1000.0,51970.833333333336
70000,2,3,2,29,0,-1,-1,2,0,0,8451.875,3010.0,0.0,875.0,600.0,1000.0,24138.5
500000,2,1,2,35,0,0,0,0,0,0,12197.0,14802.75,4672.0,0.0,1296.0,54.0,95050.66666666667
450000,2,1,1,40,-2,-2,-2,-2,-2,-2,15071.0,1473.0,560.0,0.0,0.0,1128.0,4494.166666666667
30000,1,2,1,31,0,0,0,-1,-1,-2,1632.0,780.0,2320.0,0.0,0.0,0.0,3798.5
120000,2,2,2,32,0,0,0,0,0,2,2000.0,1551.0,2000.0,1500.0,457.0,6922.125,16934.166666666668
60000,1,1,1,38,2,2,2,0,0,0,2700.0,0.0,2100.0,1600.0,1600.0,1600.0,50787.666666666664
50000,2,2,1,34,3,3,2,2,2,2,2000.0,2001.0,499.0,2000.0,2000.0,1500.0,46734.5
320000,1,1,1,46,-2,-2,-2,-2,-2,-2,3349.0,12253.0,3290.0,11465.0,7537.0,1966.0,8568.833333333334
450000,2,1,2,40,-1,-1,-1,-1,-2,-2,15071.0,6665.0,0.0,0.0,0.0,8768.0,5921.666666666667
250000,2,2,1,54,-1,-1,2,-1,-1,-1,1200.0,0.0,9375.0,8765.0,3649.0,12494.0,6761.833333333333
180000,1,3,1,33,2,2,0,0,0,2,0.0,8000.0,7000.0,12309.5,7000.0,0.0,165351.0
50000,2,1,2,24,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,1,2,1,35,1,2,0,0,0,2,0.0,1107.0,1278.0,1005.0,0.0,300.0,6817.333333333333
190000,1,1,1,31,0,0,0,0,0,0,6004.0,5148.0,5313.0,3000.0,12465.5,0.0,101662.16666666667
30000,2,2,2,24,0,0,2,0,0,2,1600.0,1000.0,1000.0,2000.0,0.0,1500.0,8289.333333333334
30000,2,3,1,45,2,-1,-1,2,0,0,3850.625,3000.0,0.0,1000.0,2000.0,0.0,14843.5
150000,2,2,1,28,0,0,0,0,0,0,2000.0,1500.0,1500.0,1000.0,0.0,0.0,11386.5
250000,2,1,1,43,-2,-2,-2,-2,-2,-2,0.0,14802.75,0.0,12309.5,0.0,0.0,27301.0
390000,2,2,1,37,0,0,0,0,0,0,15071.0,8315.0,6839.0,3000.0,2348.0,2401.0,157329.33333333334
500000,1,2,1,38,0,0,0,-1,0,0,10026.0,7241.0,13584.25,12309.5,5078.0,2132.0,50146.833333333336
290000,2,2,1,34,0,0,0,0,-1,0,1274.0,1200.0,2033.0,12309.5,3900.0,12494.0,31845.5
240000,2,2,2,27,0,-1,0,-1,0,-1,2239.0,3700.0,13584.25,10003.0,12465.5,8756.0,19265.0
150000,2,2,2,26,1,-2,-1,-1,-2,-2,340.0,380.0,462.0,103.0,266.0,0.0,615.3333333333334
80000,2,3,1,25,-1,-1,2,-1,-1,-1,1606.0,4.0,2693.0,1395.0,2906.0,0.0,1759.0
210000,1,3,1,44,-2,-2,-2,-2,-2,-2,800.0,850.0,2340.0,2380.0,2694.0,1530.0,1764.8333333333333
60000,2,1,2,34,0,0,0,0,0,0,2178.0,1511.0,1200.0,1300.0,1300.0,1252.0,37268.333333333336
180000,2,1,2,29,-1,-1,-1,-1,-1,-1,1473.0,14802.75,13584.25,12309.5,12465.5,12494.0,32488.666666666668
140000,1,2,2,28,2,2,2,2,2,2,1600.0,600.0,700.0,600.0,700.0,600.0,13825.5
360000,1,1,2,33,0,0,0,0,-1,-1,10022.0,14802.75,13584.25,5180.0,0.0,0.0,139391.5
60000,1,2,2,24,2,0,0,0,0,0,1686.0,2000.0,1000.0,1000.0,6000.0,5000.0,19078.166666666668
210000,2,2,2,44,0,0,0,0,0,0,3379.0,3469.0,4380.0,3355.0,3565.0,3607.0,88574.33333333333
200000,1,2,2,32,-1,-1,-1,-1,-1,-1,9363.0,11119.0,9473.0,11140.0,9636.0,12494.0,9992.666666666666
120000,2,1,2,26,0,0,0,0,0,0,1206.0,1300.0,2000.0,2000.0,2000.0,2000.0,14590.166666666666
50000,1,3,1,54,0,0,0,0,0,2,1771.0,1973.0,1307.0,1699.0,0.0,705.0,29162.0
360000,2,1,1,42,0,0,0,0,0,0,10005.0,14802.75,13584.25,10027.0,12465.5,12494.0,193227.5
80000,2,1,2,22,0,-1,0,0,0,0,8451.875,2386.0,2000.0,2000.0,3000.0,1000.0,40903.333333333336
100000,1,2,2,31,1,2,2,0,0,2,2100.0,0.0,2000.0,2000.0,1000.0,0.0,37598.833333333336
300000,2,1,2,25,1,5,4,3,2,3,0.0,0.0,10000.0,10000.0,0.0,0.0,258114.83333333334
260000,2,3,1,51,-2,-2,-2,-2,-2,-2,7091.0,1555.0,13584.25,303.0,7500.0,0.0,10547.0
110000,1,2,2,27,0,0,0,0,0,0,6000.0,6000.0,4000.0,5000.0,4000.0,4000.0,105650.83333333333
80000,2,2,2,26,-1,2,2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,260.0
70000,1,3,1,53,-1,-1,-1,2,0,0,712.0,862.0,712.0,712.0,712.0,712.0,812.0
120000,2,2,2,27,1,1,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,1873.0
50000,2,2,2,48,-1,0,0,0,0,0,3850.625,1800.0,1500.0,1000.0,1000.0,1500.0,30070.333333333332
60000,1,3,2,25,0,0,0,0,0,0,3000.0,2000.0,1500.0,1500.0,1300.0,2000.0,38750.166666666664
110000,2,1,1,31,-2,-2,-2,-2,-2,-1,0.0,0.0,0.0,163.0,6992.5,2000.0,10653.0
270000,1,1,2,36,-2,-2,-2,-2,-2,-2,1879.0,6909.0,8587.0,880.0,4861.0,3212.0,5760.5
500000,2,1,1,36,-1,-1,-1,0,0,0,8091.0,14802.75,65.0,12309.5,12465.5,12494.0,42309.0
50000,2,2,2,23,0,0,-1,-1,-1,-1,3850.625,836.0,836.0,836.0,3300.0,1476.0,7916.333333333333
180000,2,1,2,39,-2,-2,-2,-2,-2,-2,6653.0,330.0,13584.25,12309.5,12465.5,12494.0,12051.5
50000,2,3,1,47,2,0,0,0,0,0,2100.0,2200.0,2000.0,2000.0,1755.0,1804.0,48472.666666666664
360000,2,2,1,35,2,2,2,2,0,0,15071.0,14802.75,6.0,10306.0,10876.0,10323.0,258114.83333333334
500000,1,1,2,32,-1,0,0,0,0,0,15071.0,14802.75,10000.0,12309.5,12465.5,10000.0,258114.83333333334
210000,1,2,1,37,0,0,0,0,0,0,3012.0,14802.75,13584.25,5023.0,2149.0,3041.0,56872.5
180000,2,3,1,35,0,0,0,0,0,2,7002.0,1807.0,2000.0,4000.0,0.0,12494.0,84755.0
120000,2,1,1,37,0,0,0,0,-1,-1,5020.0,5000.0,1000.0,2994.0,0.0,0.0,9690.0
400000,2,1,2,29,-2,-2,-2,-2,-2,-2,15071.0,13653.0,13584.25,3930.0,7021.0,12494.0,14646.666666666666
280000,2,1,2,25,-2,-2,-2,-2,-2,-2,505.0,500.0,0.0,500.0,4778.0,4898.0,1210.5
210000,2,2,2,29,1,1,-2,-2,-1,0,0.0,0.0,2000.0,4000.0,3000.0,5000.0,1301.8333333333333
30000,1,2,1,40,1,2,0,0,-1,-1,0.0,1000.0,500.0,1520.0,0.0,0.0,9056.833333333334
170000,2,1,2,29,-2,-2,-2,-1,0,0,0.0,0.0,10232.0,194.0,0.0,0.0,3318.1666666666665
420000,2,1,2,37,0,0,0,0,0,0,15071.0,14802.75,13541.0,10008.0,7705.0,7246.0,256517.16666666666
320000,2,2,1,44,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000,2,2,2,24,-1,-1,-1,-1,0,-1,306.0,995.0,1055.0,0.0,2110.0,0.0,1024.6666666666667
70000,2,2,1,34,0,0,0,0,0,0,2200.0,2015.0,2000.0,1500.0,1700.0,2000.0,44819.666666666664
150000,2,1,2,30,-1,-1,-1,-1,-1,-1,1264.0,10830.0,2501.0,4461.0,1240.0,165.0,4083.5
130000,1,1,2,43,0,0,0,0,0,0,5500.0,6000.0,4000.0,4000.0,4000.0,3800.0,116740.33333333333
200000,2,1,2,35,-1,-1,-2,-1,0,0,0.0,0.0,3240.0,0.0,0.0,0.0,1216.0
20000,2,2,2,22,0,0,0,0,0,2,1700.0,1300.0,700.0,1643.0,0.0,1000.0,17912.166666666668
110000,1,1,2,29,2,0,0,0,2,0,3430.0,4000.0,7100.0,0.0,3600.0,3142.0,82522.0
20000,1,2,2,24,2,2,2,0,0,2,1500.0,0.0,1500.0,2500.0,0.0,1500.0,15795.833333333334
120000,1,1,2,24,2,-1,0,0,-2,-1,2103.0,1170.0,1162.0,0.0,3443.0,0.0,1751.8333333333333
200000,1,2,1,54,-1,-1,-1,-1,-1,-1,10120.0,7852.0,6336.0,4622.0,7956.0,5499.0,7914.333333333333
200000,1,2,1,32,-1,-1,0,0,-1,-1,15071.0,3935.0,3759.0,390.0,390.0,390.0,42467.5
390000,2,2,1,32,-1,-1,-1,-1,-1,0,0.0,682.0,11130.0,9942.0,6600.0,1000.0,5801.666666666667
70000,2,3,2,40,0,0,0,0,0,0,8451.875,8426.5,6019.0,6784.625,6992.5,5008.0,43202.833333333336
400000,1,2,1,45,0,0,2,0,0,2,15071.0,0.0,13584.25,12309.5,12465.5,12494.0,258114.83333333334
280000,2,1,1,26,-2,-2,-2,-2,-2,-2,1578.0,646.0,3689.0,560.0,0.0,1605.0,1856.1666666666667
20000,2,1,2,28,0,-1,-1,2,0,0,3850.625,3962.5,0.0,0.0,0.0,1183.0,9752.333333333334
200000,2,2,1,31,3,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
20000,1,1,1,32,2,0,0,0,0,2,1250.0,1554.0,1300.0,1500.0,750.0,0.0,15060.0
50000,1,2,2,39,0,0,0,0,0,0,2500.0,2010.0,1500.0,1000.0,1000.0,900.0,19915.333333333332
170000,2,2,2,30,0,0,0,2,0,0,6000.0,14802.75,0.0,5000.0,5000.0,4500.0,128755.16666666667
270000,2,2,2,42,-1,-1,-1,-2,-2,-2,10025.0,0.0,0.0,0.0,0.0,0.0,3714.6666666666665
20000,2,2,1,23,0,0,0,0,0,0,1700.0,1577.0,2000.0,808.0,2000.0,2000.0,18643.333333333332
200000,2,1,2,31,-1,-1,-1,-1,-1,-1,2286.0,2712.0,0.0,1440.0,0.0,0.0,1644.0
320000,2,2,1,43,-1,-1,-1,-1,-1,-1,15071.0,14802.75,5315.0,12309.5,908.0,6382.0,28873.333333333332
180000,2,2,1,34,0,0,0,0,0,0,7000.0,5000.0,5000.0,4900.0,5000.0,5100.0,137944.33333333334
260000,2,2,1,40,0,0,-1,-1,0,-1,15071.0,14802.75,13584.25,12309.5,12465.5,12494.0,40681.666666666664
20000,1,2,1,28,0,0,0,0,0,0,1500.0,1300.0,1500.0,700.0,700.0,2600.0,17830.333333333332
320000,2,1,2,27,0,0,0,0,0,0,6000.0,5000.0,5333.0,5000.0,5000.0,3000.0,112917.5
100000,2,3,2,25,0,0,0,0,0,0,4000.0,4046.0,4752.0,4000.0,4500.0,3000.0,61247.0
120000,2,2,1,47,0,0,0,0,0,0,6500.0,4300.0,1175.0,1658.0,784.0,0.0,76739.5
230000,1,2,2,28,0,0,2,2,0,0,7000.0,1249.0,0.0,4000.0,1000.0,3000.0,16265.5
190000,2,3,1,38,0,0,0,0,0,0,15000.0,10000.0,5674.0,11313.0,5538.0,12494.0,92539.83333333333
180000,2,2,1,30,1,2,-1,0,0,0,0.0,3842.0,5000.0,5000.0,10000.0,5000.0,9225.333333333334
280000,1,1,1,38,-2,-2,-2,-2,-2,-1,7259.0,11055.0,2311.0,0.0,10551.0,12494.0,22083.833333333332
